Position,weekday
"74.322456,22.574949,back",6
"74.499458,22.522764,back",6
"74.677422,22.469925,back",6
"74.844414,22.420162,back",6
"75.017792,22.36821,back",6
"75.202179,22.312767,back",6
"75.376129,22.26021,back",6
"75.550682,22.20726,back",6
"75.725266,22.154068,back",6
"75.897118,22.101513,back",6
"75.925911,22.092682,back",6
"76.164467,22.015961,back",6
"76.338554,21.958099,back",6
"76.501297,21.904129,back",6
"76.665092,21.849525,back",6
"76.757812,21.818476,back",6
"76.998978,21.737549,back",6
"77.1698,21.679935,back",6
"77.332962,21.62471,back",6
"77.504784,21.568117,back",6
"77.670097,21.515579,back",6
"77.841927,21.462158,back",6
"77.900337,21.444288,back",6
"78.117676,21.335728,back",6
"78.262505,21.241974,back",6
"78.399864,21.151707,back",6
"78.491417,21.091469,back",6
"78.696266,20.956514,back",6
"78.839935,20.861641,back",6
"78.986305,20.764858,back",6
"79.124763,20.672836,back",6
"79.263908,20.580233,back",6
"79.402756,20.487442,back",6
"79.541718,20.394442,back",6
"79.680748,20.301086,back",6
"79.824013,20.204819,back",6
"79.960594,20.112942,back",6
"80.099403,20.019012,back",6
"80.23735,19.925615,back",6
"80.382355,19.827164,back",6
"80.51664,19.735748,back",6
"80.656525,19.640297,back",6
"80.79895,19.542862,back",6
"80.93898,19.447037,back",6
"81.073219,19.354935,back",6
"81.208237,19.261963,back",6
"81.345032,19.167664,back",6
"81.483948,19.071707,back",6
"81.617088,18.979477,back",6
"81.75621,18.882938,back",6
"81.895439,18.786062,back",6
"82.031464,18.687557,back",6
"82.153259,18.585938,back",6
"82.281273,18.480057,back",6
"82.404755,18.37738,back",6
"82.533417,18.270218,back",6
"82.655685,18.168274,back",6
"82.784683,18.060471,back",6
"82.913574,17.95253,back",6
"83.036041,17.849758,back",6
"83.165176,17.741198,back",6
"83.29039,17.62999,back",6
"83.401649,17.517151,back",6
"83.518951,17.398945,back",6
"83.629692,17.286942,back",6
"83.746033,17.168884,back",6
"83.860802,17.051479,back",6
"83.969666,16.94014,back",6
"84.095474,16.811417,back",6
"84.106819,16.799957,back",6
"84.201096,16.705582,back",6
"84.365044,16.540289,back",6
"84.431664,16.472946,back",6
"84.597084,16.30545,back",6
"84.720284,16.180441,back",6
"84.732941,16.167639,back",6
"92.227386,8.493393,back",6
"92.3228,8.450768,back",6
"92.494781,8.374603,back",6
"92.592628,8.331222,back",6
"92.682365,8.291372,back",6
"92.789482,8.243843,back",6
"92.971985,8.162704,back",6
"93.103401,8.104202,back",6
"93.127693,8.093386,back",6
"93.244423,8.041387,back",6
"93.434128,7.956708,back",6
"93.560081,7.900497,back",6
"93.68708,7.843689,back",6
"93.813774,7.787025,back",6
"93.939766,7.730576,back",6
"94.066711,7.673676,back",6
"94.193512,7.616784,back",6
"94.326241,7.557175,back",6
"94.451744,7.500961,back",6
"94.579453,7.448591,back",6
"94.705688,7.39595,back",6
"94.832405,7.342987,back",6
"94.964165,7.287892,back",6
"95.089371,7.235475,back",6
